txid	host_txids	host_names	diseases
1382932	29339	Bacillus thuringiensis serovar kurstaki	
1690456	1396;260799;1428;29339	Bacillus cereus;Bacillus anthracis str. Sterne;Bacillus thuringiensis;Bacillus thuringiensis serovar kurstaki	
1308863	1392	Bacillus anthracis	
2894786	260799	Bacillus anthracis str. Sterne	
2894787	260799	Bacillus anthracis str. Sterne	
2894788	260799	Bacillus anthracis str. Sterne	
2894789	260799	Bacillus anthracis str. Sterne	
2894790	260799	Bacillus anthracis str. Sterne	
2419618	246272	Alkalihalobacillus bogoriensis	
1195072	1396	Bacillus cereus	
1759525	1396	Bacillus cereus	
2419619	33932	Sutcliffiella cohnii	
1775140	79882	Sutcliffiella halmapala	
2593638	592022	Priestia megaterium DSM 319	
2662127	1408	Bacillus pumilus	
2662128	1408	Bacillus pumilus	
2591379	1409	Bacillus sp. (in: firmicutes)	
1933063	1402;86029;1423;1390;535026;315750;279010;224308	Bacillus licheniformis DSM 13 = ATCC 14580;Bacillus subtilis subsp. subtilis str. 168;Bacillus subtilis;Bacillus pumilus SAFR-032;Bacillus subtilis subsp. natto;Bacillus amyloliquefaciens;Bacillus subtilis subsp. subtilis NCIB 3610 = ATCC 6051 = DSM 10;Bacillus licheniformis	
